"countries","rank","gdp billinors"
"Poland","21","2,099.9"
"Poland","21","1,990.8"
"Poland","21","1,798.5"
"Poland","21","1,775.8"
"Poland","21","1,609.0"
"Poland","21","1,542.7"
"Poland","21","1,425.3"
"Poland","21","1,293.0"
"Poland","21","1,186.1"
"Poland","21","1,018.0"
"Poland","21","833.5"
"Poland","21","815.3"
"Poland","21","812.9"
"Poland","21","674.0"
"Poland","21","627.4"
"Poland","21","599.9"
"Poland","21","506.0"
"Poland","21","498.6"
"Poland","21","491.5"
"Poland","21","482.4"
"Poland","21","482.4"
"Poland","21","481.6"
"Poland","21","477.1"
"Poland","21","440.8"
"Poland","21","419.9"
"Poland","21","416.3"
"Poland","21","404.1"
"Poland","21","397.1"
"Poland","21","397.0"
"Poland","21","394.1"
"Poland","21","372.7"
"Poland","21","368.1"
"Poland","21","362.6"
"Poland","21","358.9"
"Poland","21","346.3"
"Poland","21","317.1"
"Poland","21","314.3"
"Poland","21","299.2"
"Poland","21","284.1"
"Poland","21","282.3"
"Poland","21","250.0"
"Poland","21","249.9"
"Poland","21","231.5"
"Sweden","22","22,996.1"
"Sweden","22","17,734.1"
